Ozone-1578:OZONE_value,Ozone-1578:OZONE_date,GPS:LAT_value,GPS:LAT_date,GPS:LON_value,GPS:LON_date
73.8,2025-10-21T21:37:47Z,36.1388773,2025-10-21T21:37:47Z,-120.3683568,2025-10-21T21:37:47Z
70.3,2025-10-21T21:42:49Z,36.1389674,2025-10-21T21:42:49Z,-120.3683446,2025-10-21T21:42:49Z
71.5,2025-10-21T21:47:51Z,36.1388898,2025-10-21T21:47:51Z,-120.3683828,2025-10-21T21:47:51Z
68.8,2025-10-21T21:52:56Z,36.1389135,2025-10-21T21:52:56Z,-120.3683508,2025-10-21T21:52:56Z
68.1,2025-10-21T21:58:00Z,36.1389150,2025-10-21T21:58:00Z,-120.3683508,2025-10-21T21:58:00Z
69.8,2025-10-21T22:03:03Z,36.1389129,2025-10-21T22:03:03Z,-120.3683859,2025-10-21T22:03:03Z
69.3,2025-10-21T22:08:05Z,36.1388983,2025-10-21T22:08:05Z,-120.3683581,2025-10-21T22:08:05Z
68.1,2025-10-21T22:13:07Z,36.1389443,2025-10-21T22:13:07Z,-120.3683507,2025-10-21T22:13:07Z
69.0,2025-10-21T22:18:14Z,36.1389585,2025-10-21T22:18:14Z,-120.3683717,2025-10-21T22:18:14Z
69.3,2025-10-21T22:23:16Z,36.1388638,2025-10-21T22:23:16Z,-120.3683691,2025-10-21T22:23:16Z
72.3,2025-10-21T22:28:20Z,36.1388728,2025-10-21T22:28:20Z,-120.3683873,2025-10-21T22:28:20Z
69.2,2025-10-21T22:33:22Z,36.1389217,2025-10-21T22:33:22Z,-120.3683597,2025-10-21T22:33:22Z
70.8,2025-10-21T22:38:28Z,36.1389449,2025-10-21T22:38:28Z,-120.3683673,2025-10-21T22:38:28Z
68.1,2025-10-21T22:43:35Z,36.1389191,2025-10-21T22:43:35Z,-120.3683545,2025-10-21T22:43:35Z
68.7,2025-10-21T22:48:37Z,36.1389454,2025-10-21T22:48:37Z,-120.3683647,2025-10-21T22:48:37Z
