,date_time,Unnamed: 0,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM4_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,tempC_sen5x,rh_sen5x,vocIdx,noxIdx,alt,sats,counter,moos,ver,C1_T,C2_rh,C3_o3,b,o3_cal,unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon
0,6/2/2025 23:30,8,2,2,3,3,612,154,798,26,19,2,20,20,34,9,20,1,39,17,11,2,85.366997,6,600,58,3,,,,,,1748908800,3,3,3,4,4,3,35,17,81.444,36.785381,-119.773026
1,6/3/2025 0:30,40.66666667,2,2,2.333333333,3,601,146.1666667,854.5,22.16666667,19,1.333333333,19,19.16666667,33,8.5,19.16666667,0.5,37.83333333,17.16666667,10.83333333,2,71.53916567,5.5,600,58,3,,,,,,1748910900,3,3,3,3,3,3,34.5,16.83333333,81.296,36.78535133,-119.7731223
2,6/3/2025 1:30,100.6666667,2,2,3,3,610.8333333,154.5,957.6666667,26,21,1.666666667,21.33333333,21.33333333,31.33333333,11,21.33333333,1,35.83333333,19.83333333,9.833333333,2.333333333,81.55199933,5.666666667,600,58,3,,,,,,1748914500,3.166666667,3.166666667,3,3.666666667,3.666666667,3.166666667,33.33333333,19.33333333,81.213,36.78537417,-119.773159
3,6/3/2025 2:30,161.1666667,2,2,3,4,605,157.1666667,1074.5,27,23.66666667,1.833333333,23.83333333,23.83333333,29,13.16666667,23.83333333,1,33,22.5,7.666666667,4,67.305668,4.666666667,600,58,3,,,,,,1748918100,3.5,3.5,3.5,4,4,4,31.33333333,21.5,80.5855,36.78538317,-119.7731375
4,6/3/2025 3:30,220.8333333,2.5,2.5,3,4,650,169.5,1201.5,28.5,25.66666667,2,26,26.16666667,27.33333333,16.5,26.16666667,1,30.5,26,25.33333333,5.666666667,75.690501,5.166666667,600,58,3,,,,,,1748921700,3.833333333,3.833333333,4,4.166666667,4.166666667,4,29.5,24.66666667,75.09333333,36.78534633,-119.7731275
5,6/3/2025 4:30,281.3333333,2.833333333,2.833333333,3.833333333,4.666666667,720.6666667,188.8333333,1341.333333,32.66666667,28.33333333,2.166666667,29,29,25.83333333,23.16666667,29,1,28.66666667,32.33333333,80.33333333,5.666666667,67.06383217,8,600,58,3,,,,,,1748925300,4.666666667,4.666666667,4.166666667,4.833333333,4.833333333,4.833333333,28.33333333,30.83333333,66.107,36.78537867,-119.773163
6,6/3/2025 5:30,341.3333333,3.5,3.5,4.166666667,5.5,846.6666667,223.8333333,1498.333333,40.83333333,32.5,3.166666667,33.33333333,33.33333333,24.5,30.83333333,33.33333333,1,27.16666667,38.66666667,127.8333333,4,73.01150017,5,600,58,3,,,,,,1748928900,5.833333333,5.833333333,4.833333333,6,6,5.666666667,26.66666667,37.66666667,57.81816667,36.785358,-119.7731463
7,6/3/2025 6:30,400.8333333,4,4,5,6.5,886.1666667,234,1672.166667,42.66666667,35,3,36,36.5,23.16666667,38.33333333,36.5,1,25.5,44.5,149.6666667,4.166666667,78.60600033,6.166666667,600,58,3,,,,,,1748932500,6,6,6,6.333333333,6.333333333,6.833333333,25,44.5,53.18766667,36.78534133,-119.7731298
8,6/3/2025 7:30,460.5,3.666666667,3.666666667,4.5,6.333333333,876.1666667,233.3333333,1845.333333,43.5,33.83333333,3.5,34.83333333,35.16666667,21.5,46.16666667,35.16666667,1,23.5,50.33333333,224.3333333,2.333333333,70.336834,6.333333333,600,58,3,,,,,,1748936100,6.166666667,6.166666667,5.666666667,6.5,6.5,6.666666667,22.66666667,51.83333333,36.1175,36.78540483,-119.773144
9,6/3/2025 8:30,520.5,3.166666667,3.166666667,4,5.833333333,771.5,201.5,2000.666667,37.66666667,29.5,2.666666667,30.5,30.5,20,49,30.5,1,21.66666667,52.16666667,152.6666667,2.333333333,75.2613315,7,600,58,3,,,,,,1748939700,5.166666667,5.166666667,5,5.333333333,5.333333333,6,21.33333333,52.66666667,40.40033333,36.78536033,-119.7731297
10,6/3/2025 9:30,581,3,3,4,5.666666667,738.5,199,2147.833333,36.5,29.66666667,2.833333333,30.66666667,30.66666667,19,52.16666667,30.66666667,1,20.5,54.16666667,130.6666667,3,72.41866817,5.333333333,600,58,3,,,,,,1748943300,5,5,5,5.5,5.5,6,20,54.83333333,40.4185,36.7854175,-119.7731295
11,6/3/2025 10:30,641,3,3,4,5.666666667,738,201.5,2296,39.33333333,30,2.666666667,31,31,18,55.33333333,31,1,19.5,56.33333333,122,3,66.36383317,4.333333333,600,58,3,,,,,,1748946900,5,5,5,5.5,5.5,6,19,57.16666667,40.39083333,36.78530567,-119.7731423
12,6/3/2025 11:30,701.3333333,3,3,4,6,743.8333333,200.6666667,2446.666667,39,30.5,3,31.5,31.83333333,18,56.83333333,31.83333333,1,19,57.33333333,132.1666667,3,71.7105015,7.166666667,600,58,3,,,,,,1748950500,5.166666667,5.166666667,5,5.333333333,5.333333333,6,18.66666667,57.83333333,39.45683333,36.78537933,-119.7731043
13,6/3/2025 12:30,761.3333333,3,3,4,6,792.1666667,213,2599.833333,42.16666667,30.83333333,3.5,32.16666667,32.33333333,17,60.33333333,32.33333333,1,18,59.5,168.5,2.666666667,63.08483317,5.833333333,600,58,3,,,,,,1748954100,5.333333333,5.333333333,5,6,6,6.333333333,18,60.83333333,36.1205,36.78536083,-119.7731335
14,6/3/2025 13:30,821.3333333,3,3,4,6,795.3333333,211,2760,40.5,31.16666667,3.166666667,32.33333333,32.5,17.66666667,58.5,32.5,1,18.83333333,57.5,171.6666667,2,60.34399983,7.166666667,599,58,3,,,,,,1748957700,5.333333333,5.333333333,5,6,6,6.166666667,18.33333333,58.66666667,36.1395,36.78535833,-119.7731527
15,6/3/2025 14:30,881.3333333,3,3,4,5.666666667,747.1666667,200.6666667,2910.833333,38.66666667,29.66666667,3.333333333,30.66666667,31,20.33333333,45.66666667,31,1,22.5,46.16666667,150,2,58.46933433,4.666666667,599.1666667,58,3,,,,,,1748961300,4.833333333,4.833333333,5,5.5,5.5,6,20.16666667,51.33333333,39.735,36.78534317,-119.773159
16,6/3/2025 15:30,941.5,3.333333333,3.333333333,3.833333333,5,778.1666667,209.5,3071,38.16666667,30.33333333,3,30.5,31,22.66666667,35.33333333,31,1,25.5,38.66666667,91.66666667,3.166666667,58.31633317,6.166666667,599,58,3,,,,,,1748964900,5.166666667,5.166666667,4.833333333,5.5,5.5,5.166666667,22.5,43,48.41533333,36.7853815,-119.7731538
17,6/3/2025 16:30,1001.833333,3,3,3,4.5,676.6666667,181,3203.5,31.5,26,2.166666667,26.5,26.66666667,25.33333333,27.66666667,26.66666667,1,28.83333333,32.5,76.5,3,67.666668,6,599.1666667,58,3,,,,,,1748968500,4,4,4,4.333333333,4.333333333,4.833333333,24.83333333,37.33333333,52.30383333,36.785343,-119.7731477
18,6/3/2025 17:30,1062,2.833333333,2.833333333,3.166666667,4.5,682,181.8333333,3334,31.66666667,24.83333333,2.333333333,25.83333333,25.83333333,27.66666667,23.33333333,25.83333333,1,31.33333333,29.33333333,57.83333333,3,71.8383325,7.5,599.1666667,58,3,,,,,,1748972100,4.166666667,4.166666667,4,4.666666667,4.666666667,4.666666667,27,34.16666667,59.4695,36.78542317,-119.7730953
19,6/3/2025 18:30,1122,2,2,3,4,610.6666667,158.8333333,3450.833333,26.33333333,22.16666667,2,22.66666667,22.66666667,29.66666667,18.83333333,22.66666667,1,33.66666667,25.83333333,36,2.666666667,68.458001,5.333333333,599.1666667,58,3,,,,,,1748975700,3.5,3.5,3.333333333,3.833333333,3.833333333,4,29.16666667,29,65.371,36.78536017,-119.773163
20,6/3/2025 19:30,1181.5,2.166666667,2.166666667,3,3.5,632.5,159.6666667,3560,25,20.83333333,1.833333333,21.16666667,21.33333333,31.33333333,15.83333333,21.5,1,35.83333333,23.66666667,45,2,65.35366517,5.833333333,599,58,3,,,,,,1748979300,3.166666667,3.166666667,3,4,4,3.833333333,30.66666667,26.66666667,68.781,36.78535783,-119.7731247
21,6/3/2025 20:30,1242.5,2.166666667,2.166666667,2.833333333,3,682.5,166,3658.333333,25.66666667,20.16666667,1.666666667,20.5,20.5,32.66666667,13.33333333,20.5,1,37.5,21,57,1.166666667,68.86816683,5.666666667,600,58,3,,,,,,1748982900,3.666666667,3.666666667,3,4,4,3.333333333,32.16666667,23.83333333,70.4645,36.78537317,-119.773141
22,6/3/2025 21:30,1302.5,2,2,2.833333333,3,678.8333333,163.3333333,3760,25.16666667,20,1.666666667,20.33333333,20.5,33,12,20.5,1,38,20.16666667,51.5,1,60.03300017,5.166666667,600,58,3,,,,,,1748986500,3.333333333,3.333333333,3,3.666666667,3.666666667,3,33,22.33333333,73.705,36.785349,-119.7731325
