site,date,start_hour,value,variable,units,quality,prelim,name 
3026,2025-06-01,0,30.1,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,1,28.6,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,2,26.5,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,4,20.6,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,5,21.8,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,6,36.4,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,7,42.0,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,8,50.3,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,9,52.5,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,10,48.7,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,11,42.7,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,12,45.3,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,13,50.7,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,14,49.3,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,15,48.6,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,16,58.1,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,17,56.0,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,18,64.2,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,19,51.1,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,20,39.4,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,21,34.6,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,22,31.7,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-01,23,29.0,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
2013,2025-06-01,0,32.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
