site,date,start_hour,time,value,variable,units,quality,prelim,name 
3781,6/3/2025,0,1:30 AM,28.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,1,2:30 AM,28.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,2,3:30 AM,28.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,3,4:30 AM,27.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,5,6:30 AM,24.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,6,7:30 AM,25.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,7,8:30 AM,34.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,8,9:30 AM,42.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,9,10:30 AM,44.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,10,11:30 AM,45.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,11,12:30 PM,47.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,12,1:30 PM,48.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,13,2:30 PM,50.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,14,3:30 PM,54.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,15,4:30 PM,56.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,16,5:30 PM,58.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,17,6:30 PM,58.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,18,7:30 PM,56.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,19,8:30 PM,55.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,20,9:30 PM,52.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,21,10:30 PM,49,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,22,11:30 PM,45.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,23,12:30 AM,35.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,0,1:30 AM,33.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,1,2:30 AM,25.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,2,3:30 AM,20.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,3,4:30 AM,19.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,5,6:30 AM,15.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,7,8:30 AM,33.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,8,9:30 AM,40.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,9,10:30 AM,44.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,10,11:30 AM,48.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,11,12:30 PM,53.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,12,1:30 PM,56.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,13,2:30 PM,55.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,14,3:30 PM,57.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,15,4:30 PM,59.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,16,5:30 PM,55.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,17,6:30 PM,56.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,18,7:30 PM,54.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,19,8:30 PM,50,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,20,9:30 PM,43.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,21,10:30 PM,39.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,22,11:30 PM,37.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,23,12:30 AM,33.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,0,1:30 AM,29.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,1,2:30 AM,26.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,2,3:30 AM,25.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,3,4:30 AM,24,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,5,6:30 AM,20.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,6,7:30 AM,23.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,7,8:30 AM,27.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,8,9:30 AM,35.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,9,10:30 AM,41.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,10,11:30 AM,44.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,11,12:30 PM,49.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,12,1:30 PM,50.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,13,2:30 PM,51,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,14,3:30 PM,52.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,15,4:30 PM,53.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,16,5:30 PM,56.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,17,6:30 PM,56.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
