site,date,start_hour,value,variable,units,quality,prelim,name 
3781,6/1/2025,0,30.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,1,21.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,2,17.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,3,13.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,5,13.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,6,21.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,7,34,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,8,44.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,9,45.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,10,37.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,11,36.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,12,40.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,13,42.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,14,41.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,15,46.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,16,51.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,17,49.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,18,55.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,19,44.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,20,35.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,21,32.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,22,29.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/1/2025,23,26.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,0,24.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,1,23.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,2,22.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,3,20.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,5,15.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,6,17,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,7,20.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,8,28.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,9,38.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,10,45,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,11,52.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,12,57.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,13,58.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,14,57.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,16,56.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,17,57.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,18,58.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,19,55,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,20,49.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,21,43,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,22,40.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/2/2025,23,29.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,0,28.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,1,28.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,2,28.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,3,27.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,5,24.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,6,25.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,7,34.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,8,42.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,9,44.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,10,45.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,11,47.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,12,48.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,13,50.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,14,54.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,15,56.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,16,58.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,17,58.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,18,56.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,19,55.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,20,52.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,21,49,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,22,45.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/3/2025,23,35.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,0,33.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,1,25.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,2,20.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,3,19.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,5,15.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,7,33.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,8,40.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,9,44.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,10,48.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,11,53.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,12,56.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,13,55.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,14,57.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,15,59.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,16,55.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,17,56.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,18,54.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,19,50,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,20,43.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,21,39.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,22,37.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/4/2025,23,33.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,0,29.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,1,26.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,2,25.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,3,24,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,5,20.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,6,23.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,7,27.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,8,35.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,9,41.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,10,44.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,11,49.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/5/2025,12,50.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
