Unnamed: 0,objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt,date
53,lu5Mw3wr95,MOOSPMv3Parser,1762305841,-9,-9,6441,-9,-9,6441,6441,-9,-9,6441,-9,-9,6441,-9,6441,-9,6441,6441,-10,-10,6441,64,0,328,0,655,0.033,6441,6441,0.0,0.0,0.0,0,58,58,3,e00fce683e231391871b508e,2025-11-05 01:24:03,2025-11-05 01:24:03,2025-11-05 01:24:03,2025-11-05
54,mmUEvWZB7d,MOOSPMv3Parser,1762305901,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,12885,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.006,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:25:03,2025-11-05 01:25:03,2025-11-05 01:25:03,2025-11-05
55,Wye7HKL9Co,MOOSPMv3Parser,1762305961,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,19438,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.011,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:26:03,2025-11-05 01:26:03,2025-11-05 01:26:03,2025-11-05
56,vVzLV3nU8z,MOOSPMv3Parser,1762306021,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,25992,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.011,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:27:04,2025-11-05 01:27:04,2025-11-05 01:27:04,2025-11-05
57,jlCwrm6Uah,MOOSPMv3Parser,1762306081,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,32545,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.024,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:28:09,2025-11-05 01:28:09,2025-11-05 01:28:09,2025-11-05
58,9lNpU5Vmb0,MOOSPMv3Parser,1762306141,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,39099,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.03,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:29:03,2025-11-05 01:29:03,2025-11-05 01:29:03,2025-11-05
62,5ls9wYolnc,MOOSPMv3Parser,1762306201,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,45652,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.011,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:30:03,2025-11-05 01:30:03,2025-11-05 01:30:03,2025-11-05
66,CITJBnKuFA,MOOSPMv3Parser,1762306261,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,52206,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.015,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:31:03,2025-11-05 01:31:03,2025-11-05 01:31:03,2025-11-05
67,jzgIbHpjeK,MOOSPMv3Parser,1762306321,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,58759,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.009,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:32:03,2025-11-05 01:32:03,2025-11-05 01:32:03,2025-11-05
68,LLkTKsBWBy,MOOSPMv3Parser,1762306381,-9,-9,6554,-9,-9,6554,6554,-9,-9,6554,-9,-9,65313,-9,6554,-9,6554,6554,-10,-10,6554,66,0,328,0,655,0.011,6554,6554,0.0,0.0,0.0,0,59,58,3,e00fce683e231391871b508e,2025-11-05 01:33:13,2025-11-05 01:33:13,2025-11-05 01:33:13,2025-11-05
