Unnamed: 0,objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt,date
9,DAhBKHpYit,MOOSPMv3Parser,1750291200,2,2,2,3,3,2,2,3,3,2,522,155,165323,23,18,2,18,18,0,0,18,0,40,41,17,19,25.426,147,1,36.139,-120.368431,165.682007,5,600,58,3,e00fce6876826e255108c6bd,2025-06-19 00:00:04,2025-06-19 00:00:05,2025-06-19 00:00:05,2025-06-19
19,pmkr8MScAO,MOOSPMv3Parser,1750291800,2,2,2,3,3,2,2,3,3,2,480,145,165338,22,17,1,17,17,0,0,17,0,40,41,17,19,28.246,100,1,36.138977,-120.368355,181.095001,7,600,58,3,e00fce6876826e255108c6bd,2025-06-19 00:10:04,2025-06-19 00:10:04,2025-06-19 00:10:04,2025-06-19
29,JyMswwffjC,MOOSPMv3Parser,1750292400,1,1,2,3,3,2,2,3,3,2,462,139,165354,23,17,2,17,17,0,0,17,0,40,41,17,19,27.445,84,1,36.139023,-120.368355,160.679993,7,600,58,3,e00fce6876826e255108c6bd,2025-06-19 00:20:05,2025-06-19 00:20:05,2025-06-19 00:20:05,2025-06-19
39,dV0e5FhjIj,MOOSPMv3Parser,1750293000,2,2,2,3,3,2,2,3,3,2,511,154,165370,24,18,2,18,18,0,0,18,0,40,40,17,20,27.368,76,1,36.13905,-120.368362,171.447006,5,600,58,3,e00fce6876826e255108c6bd,2025-06-19 00:30:04,2025-06-19 00:30:05,2025-06-19 00:30:05,2025-06-19
49,axYIv1rYGU,MOOSPMv3Parser,1750293600,2,2,2,3,3,2,2,4,4,2,539,163,165386,25,18,2,18,18,0,0,18,0,40,40,17,20,29.181,71,1,36.139015,-120.368332,165.822006,8,600,58,3,e00fce6876826e255108c6bd,2025-06-19 00:40:04,2025-06-19 00:40:05,2025-06-19 00:40:05,2025-06-19
59,mgfFOz5xn3,MOOSPMv3Parser,1750294200,2,2,2,3,3,2,2,4,4,2,541,163,165402,27,18,2,18,18,0,0,18,0,40,40,18,20,28.145,62,1,36.139023,-120.368286,200.703003,7,600,58,3,e00fce6876826e255108c6bd,2025-06-19 00:50:04,2025-06-19 00:50:05,2025-06-19 00:50:05,2025-06-19
68,iLC2OYcWmb,MOOSPMv3Parser,1750294800,2,2,2,3,3,2,2,3,3,2,492,149,165418,24,17,1,17,17,0,0,17,0,40,40,18,20,29.632,57,1,36.139023,-120.368286,200.707001,0,600,58,3,e00fce6876826e255108c6bd,2025-06-19 01:00:04,2025-06-19 01:00:04,2025-06-19 01:00:04,2025-06-19
79,chXUrFJ0yY,MOOSPMv3Parser,1750295400,2,2,2,3,3,2,2,4,4,2,536,161,165434,25,18,2,18,18,0,0,18,0,40,39,18,20,29.305,49,1,36.139019,-120.368378,172.656998,8,600,58,3,e00fce6876826e255108c6bd,2025-06-19 01:10:04,2025-06-19 01:10:04,2025-06-19 01:10:04,2025-06-19
89,nyKOU1B3nq,MOOSPMv3Parser,1750296000,2,2,2,3,3,2,2,3,3,2,512,154,165450,23,18,1,18,18,0,0,18,0,40,39,18,21,28.725,50,1,36.139011,-120.368393,178.742004,9,600,58,3,e00fce6876826e255108c6bd,2025-06-19 01:20:05,2025-06-19 01:20:05,2025-06-19 01:20:05,2025-06-19
99,HAF360bvhR,MOOSPMv3Parser,1750296600,2,2,2,3,3,2,2,4,4,2,526,157,165466,24,18,2,19,19,0,0,19,0,39,39,18,21,28.931,47,1,36.138981,-120.368401,162.602997,9,600,58,3,e00fce6876826e255108c6bd,2025-06-19 01:30:04,2025-06-19 01:30:04,2025-06-19 01:30:04,2025-06-19
