Unnamed: 0,objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt,date
10,NvFxK80knV,MOOSPMv3Parser,1750291200,2,2,3,4,4,3,3,5,5,3,863,212,87466,36,21,3,21,21,35,9,21,0,38,40,18,20,513.802,137,1,36.139004,-120.368439,161.324005,8,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 00:00:09,2025-06-19 00:00:09,2025-06-19 00:00:09,2025-06-19
20,11Bd2xCmrk,MOOSPMv3Parser,1750291800,3,3,3,5,5,3,3,5,5,3,907,226,87484,38,20,3,20,20,34,9,20,0,38,39,18,20,513.758,99,1,36.139,-120.368073,201.190002,7,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 00:10:09,2025-06-19 00:10:09,2025-06-19 00:10:09,2025-06-19
30,DL9MKbQOqD,MOOSPMv3Parser,1750292400,2,2,3,4,4,3,3,4,4,3,894,218,87501,36,21,2,21,21,34,9,21,0,38,39,18,20,513.881,87,1,36.139008,-120.368454,178.278,6,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 00:20:09,2025-06-19 00:20:09,2025-06-19 00:20:09,2025-06-19
40,stEdk2efK4,MOOSPMv3Parser,1750293000,2,2,3,5,5,3,3,5,5,3,866,214,87519,39,20,3,21,21,34,9,21,0,38,39,18,20,513.897,79,1,36.13903,-120.368362,182.621994,8,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 00:30:09,2025-06-19 00:30:10,2025-06-19 00:30:10,2025-06-19
50,dZ7QIbX7uS,MOOSPMv3Parser,1750293600,3,3,3,5,5,3,3,5,5,3,899,232,87537,40,20,3,20,20,34,10,20,0,38,39,19,20,513.888,68,1,36.139023,-120.368332,172.070999,7,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 00:40:09,2025-06-19 00:40:09,2025-06-19 00:40:09,2025-06-19
60,sgHxBZEoaO,MOOSPMv3Parser,1750294200,3,3,3,5,5,3,3,5,5,3,911,227,87554,39,20,3,20,20,34,10,20,0,38,39,19,21,513.798,58,1,36.139023,-120.368332,172.070999,0,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 00:50:09,2025-06-19 00:50:09,2025-06-19 00:50:09,2025-06-19
70,j42OrvHgfJ,MOOSPMv3Parser,1750294800,3,3,3,5,5,3,3,5,5,3,904,225,87572,38,20,3,20,20,34,10,20,0,38,39,19,21,513.976,54,1,36.139038,-120.368401,168.248993,6,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 01:00:09,2025-06-19 01:00:09,2025-06-19 01:00:09,2025-06-19
80,CStWM8tImH,MOOSPMv3Parser,1750295400,3,3,3,5,5,3,3,5,5,3,883,221,87736,41,21,3,21,21,34,10,21,0,38,39,19,21,513.919,44,1,36.139019,-120.368301,162.294006,8,599,58,3,e00fce68e739ecbcf9e91965,2025-06-19 01:10:09,2025-06-19 01:10:09,2025-06-19 01:10:09,2025-06-19
90,b2IY7Ih7ch,MOOSPMv3Parser,1750296000,3,3,3,5,5,3,3,5,5,3,879,222,87608,40,21,4,21,21,34,10,21,0,37,39,19,21,513.942,48,1,36.138985,-120.368347,177.914993,8,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 01:20:09,2025-06-19 01:20:09,2025-06-19 01:20:09,2025-06-19
100,v5PyF1goBJ,MOOSPMv3Parser,1750296600,3,3,3,5,5,3,3,5,5,3,940,231,87627,39,21,2,21,21,34,10,21,0,37,38,20,21,513.882,44,1,36.138988,-120.368355,164.419006,8,600,58,3,e00fce68e739ecbcf9e91965,2025-06-19 01:30:09,2025-06-19 01:30:09,2025-06-19 01:30:09,2025-06-19
