Unnamed: 0,objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt,date
3,CuBgqb3Pow,MOOSPMv3Parser,1750291201,2,2,2,4,4,2,2,4,4,2,1335,210,46746,28,14,2,14,14,36,9,14,0,38,42,17,17,511.309,164,1,36.138882,-120.368462,167.832001,0,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 00:00:02,2025-06-19 00:00:03,2025-06-19 00:00:03,2025-06-19
13,RPsJgH7GUC,MOOSPMv3Parser,1750291801,2,2,2,3,3,2,2,3,3,2,1242,200,46758,26,14,1,14,14,36,10,14,0,38,41,18,18,511.269,147,1,36.138847,-120.368477,177.764008,6,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 00:10:02,2025-06-19 00:10:02,2025-06-19 00:10:02,2025-06-19
25,78XNGKVp8F,MOOSPMv3Parser,1750292401,2,2,2,3,3,2,2,4,4,2,1240,197,46771,25,14,1,14,14,35,10,14,0,38,41,18,18,511.392,138,1,36.138958,-120.368446,158.330994,5,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 00:20:02,2025-06-19 00:20:03,2025-06-19 00:20:03,2025-06-19
36,jy9MVXwhZ2,MOOSPMv3Parser,1750293001,2,2,2,4,4,2,2,4,4,2,1309,210,46782,27,13,2,14,14,35,10,14,0,38,41,18,19,511.466,129,1,36.138927,-120.368492,163.636002,7,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 00:30:03,2025-06-19 00:30:03,2025-06-19 00:30:03,2025-06-19
43,vElu6nbSNu,MOOSPMv3Parser,1750293601,3,3,2,4,4,2,2,5,5,2,1251,205,46795,27,15,2,15,15,34,11,15,0,37,40,19,19,511.654,107,1,36.138977,-120.368416,192.218994,7,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 00:40:03,2025-06-19 00:40:03,2025-06-19 00:40:03,2025-06-19
53,SjHb5XDmFo,MOOSPMv3Parser,1750294201,3,3,2,4,4,2,2,4,4,2,1181,197,46808,25,15,1,15,15,34,11,15,0,37,39,19,20,511.811,86,1,36.138943,-120.368462,170.263,6,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 00:50:02,2025-06-19 00:50:03,2025-06-19 00:50:03,2025-06-19
65,H380DAciHg,MOOSPMv3Parser,1750294801,3,3,2,4,4,2,2,4,4,2,1162,201,46821,28,15,1,15,15,34,12,15,0,37,39,19,20,511.985,74,1,36.138901,-120.368515,160.216995,5,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 01:00:02,2025-06-19 01:00:03,2025-06-19 01:00:03,2025-06-19
74,9c2wlh8ruT,MOOSPMv3Parser,1750295401,3,3,2,4,4,2,2,5,5,2,1161,205,46834,27,14,2,14,14,33,12,14,0,37,38,19,21,512.103,59,1,36.138897,-120.368553,157.287003,7,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 01:10:02,2025-06-19 01:10:03,2025-06-19 01:10:03,2025-06-19
84,fbners2mLS,MOOSPMv3Parser,1750296001,3,3,2,4,4,2,2,5,5,2,1178,207,46846,27,15,2,15,15,33,12,15,0,37,38,20,21,512.09,56,1,36.139133,-120.368668,202.768005,8,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 01:20:03,2025-06-19 01:20:03,2025-06-19 01:20:03,2025-06-19
93,yQVm692VZH,MOOSPMv3Parser,1750296601,3,3,2,5,5,2,2,5,5,2,1193,211,46860,26,16,1,16,16,33,13,16,0,36,37,20,22,512.195,48,1,36.139084,-120.368591,189.518997,7,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 01:30:03,2025-06-19 01:30:03,2025-06-19 01:30:03,2025-06-19
104,xEpU3LiGYC,MOOSPMv3Parser,1750297201,5,5,2,7,7,2,2,7,7,2,1590,313,46875,37,17,2,17,17,33,13,17,0,36,37,20,22,512.165,52,1,36.138805,-120.368484,167.667999,5,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 01:40:02,2025-06-19 01:40:03,2025-06-19 01:40:03,2025-06-19
114,DkeK5OQBx6,MOOSPMv3Parser,1750297801,3,3,2,5,5,2,2,5,5,2,1251,218,46889,27,16,2,16,16,32,13,16,0,36,37,21,23,512.148,52,1,36.138805,-120.368484,167.673004,0,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 01:50:03,2025-06-19 01:50:03,2025-06-19 01:50:03,2025-06-19
128,Y4QoPe6vKo,MOOSPMv3Parser,1750298401,3,3,2,5,5,2,2,5,5,2,1417,235,46904,32,18,2,18,18,32,13,18,0,36,37,20,23,512.179,41,1,36.138874,-120.368523,164.850006,6,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 02:00:06,2025-06-19 02:00:06,2025-06-19 02:00:06,2025-06-19
133,HHw6vzASmk,MOOSPMv3Parser,1750299001,6,6,2,7,7,2,2,8,8,2,2657,367,46919,33,16,2,16,16,32,14,16,0,36,36,22,23,512.195,38,1,36.13879,-120.368546,170.695999,5,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 02:10:02,2025-06-19 02:10:03,2025-06-19 02:10:03,2025-06-19
145,nXtfqmgBGw,MOOSPMv3Parser,1750299601,6,6,3,8,8,3,3,8,8,3,2692,376,46938,40,23,2,23,23,32,14,23,0,35,36,22,24,512.234,32,1,36.139019,-120.368683,170.429993,5,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 02:20:03,2025-06-19 02:20:03,2025-06-19 02:20:03,2025-06-19
154,70OciEAfrM,MOOSPMv3Parser,1750300201,10,10,3,12,12,3,3,13,13,3,3594,592,46958,42,23,4,23,23,32,14,23,0,35,36,22,24,512.213,40,1,36.138908,-120.368484,164.460007,8,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 02:30:02,2025-06-19 02:30:03,2025-06-19 02:30:03,2025-06-19
164,vNCw2f3MXX,MOOSPMv3Parser,1750300801,6,6,2,7,7,3,3,8,8,3,1874,334,46975,37,19,2,19,19,32,15,19,0,35,36,22,24,512.338,38,1,36.138908,-120.368484,164.460999,0,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 02:40:03,2025-06-19 02:40:03,2025-06-19 02:40:03,2025-06-19
173,1xxaFCpBML,MOOSPMv3Parser,1750301401,5,5,2,6,6,2,2,7,7,2,1367,277,46990,35,18,2,18,18,31,15,18,0,35,35,23,25,512.401,33,1,36.138798,-120.368477,164.212006,6,600,58,3,e00fce68e77e43df92405fdb,2025-06-19 02:50:02,2025-06-19 02:50:03,2025-06-19 02:50:03,2025-06-19
